,Area,BHK,Bathroom,Locality,Price
251,3500.0,4,4.0,New Friends Colony,90000000
252,2100.0,4,5.0,New Friends Colony,56000000
253,4200.0,5,5.0,"Friends Colony East, New Friends Colony",135500000
254,1500.0,3,3.0,New Friends Colony,60000000
255,8150.0,4,5.0,"Maharani Bagh, New Friends Colony",170000000
256,2200.0,4,4.0,other,50000000
257,3500.0,4,5.0,New Friends Colony,58000000
258,2070.0,3,3.0,"Friends Colony East, New Friends Colony",37500000
259,3500.0,3,3.0,"Maharani Bagh, New Friends Colony",45000000
260,2000.0,4,4.0,New Friends Colony,70000000
261,2800.0,6,4.0,other,29500000
262,2550.0,4,4.0,New Friends Colony,60000000
263,4500.0,4,4.0,New Friends Colony,70000000
264,1400.0,3,3.0,New Friends Colony,50000000
265,2800.0,4,5.0,New Friends Colony,75000000
266,2700.0,4,4.0,other,52500000
267,4500.0,4,4.0,New Friends Colony,55000000
268,7200.0,4,4.0,"Maharani Bagh, New Friends Colony",120000000
269,2799.0,4,4.0,"Kailash Colony, Greater Kailash",65000000
270,2650.0,4,4.0,"Kailash Colony, Greater Kailash",75000000
271,2200.0,4,4.0,"Kailash Colony, Greater Kailash",47500000
272,3500.0,5,5.0,"Kailash Colony, Greater Kailash",70000000
273,2200.0,4,4.0,"Kailash Colony, Greater Kailash",47500000
274,2200.0,4,4.0,"Kailash Colony, Greater Kailash",40000000
275,3500.0,4,4.0,"Kailash Colony, Greater Kailash",85000000
276,1440.0,3,3.0,"Kailash Colony, Greater Kailash",26000000
277,3150.0,4,4.0,"Kailash Colony, Greater Kailash",35000000
278,900.0,2,2.0,"Kailash Colony, Greater Kailash",20000000
279,3690.0,4,5.0,"Kailash Colony, Greater Kailash",79000000
280,1200.0,3,2.0,"Kailash Colony, Greater Kailash",17000000
281,4500.0,4,4.0,"Kailash Colony, Greater Kailash",47500000
282,2799.0,4,4.0,"Kailash Colony, Greater Kailash",43000000
283,1350.0,3,3.0,"Kailash Colony, Greater Kailash",26000000
284,1200.0,3,3.0,"Kailash Colony, Greater Kailash",25000000
285,2177.0,4,5.0,"Kailash Colony, Greater Kailash",51000000
286,1500.0,3,3.0,"Kailash Colony, Greater Kailash",40000000
287,1600.0,3,3.0,"Kailash Colony, Greater Kailash",22500000
288,4500.0,4,4.0,"Kailash Colony, Greater Kailash",70000000
289,2150.0,4,4.0,"Kailash Colony, Greater Kailash",45000000
290,2107.0,4,4.0,"Kailash Colony, Greater Kailash",51100000
291,1150.0,3,3.0,"Kailash Colony, Greater Kailash",25500000
292,1240.0,3,3.0,"Kailash Colony, Greater Kailash",26500000
293,1000.0,2,2.0,"Kailash Colony, Greater Kailash",15000000
294,4500.0,4,4.0,"Kailash Colony, Greater Kailash",55000000
295,1150.0,3,3.0,"Kailash Colony, Greater Kailash",26000000
296,2000.0,4,4.0,"Kailash Colony, Greater Kailash",38000000
297,4500.0,4,5.0,"Kailash Colony, Greater Kailash",72500000
298,3000.0,4,5.0,"Kailash Colony, Greater Kailash",65000000
299,700.0,2,2.0,"Ram Nagar, Shahdara",4600000
300,750.0,2,2.0,other,9200000
301,1350.0,4,3.0,"Hans Apartments, Vishwas Nagar, Shahdara",9500000
302,900.0,2,2.0,"Naveen Shahdara, Shahdara",4500000
303,970.0,3,2.0,"Balbir Nagar, Shahdara",6500000
304,1000.0,3,2.0,other,5650000
305,1425.0,3,3.0,"Naveen Shahdara, Shahdara",9300000
306,440.0,2,2.0,Shahdara,2700000
307,1017.0,2,2.0,other,6500000
308,650.0,2,2.0,other,5800000
309,950.0,3,2.0,Shahdara,5500000
310,810.0,3,2.0,"Yamuna Vihar, Shahdara",6000000
311,750.0,2,2.0,"Balbir Nagar, Shahdara",4500000
312,990.0,2,2.0,Shahdara,4100000
313,800.0,3,2.0,"Ram Nagar, Shahdara",3800000
314,675.0,2,1.0,Shahdara,3300000
315,558.0,2,1.0,other,2900000
316,445.0,2,1.0,"Ram Nagar Extension, Shahdara",2000000
317,360.0,2,1.0,other,1550000
318,1350.0,4,3.0,"Mansarowar Park, Shahdara",11300000
319,850.0,3,2.0,other,4500000
320,846.0,2,1.0,other,3300000
321,1300.0,4,3.0,"Mansarowar Park, Shahdara",11500000
322,900.0,3,2.0,"Ram Nagar Extension, Shahdara",6000000
323,1050.0,3,2.0,"Hans Apartments, Vishwas Nagar, Shahdara",9000000
324,850.0,2,2.0,"Jyoti Colony, Shahdara",4500000
325,1650.0,4,3.0,Shahdara,14000000
326,1150.0,2,2.0,other,7300000
327,495.1394,1,1.0,Shahdara,1900000
328,1053.0,3,2.0,"Naveen Shahdara, Shahdara",7000000
329,810.0,3,2.0,"Yamuna Vihar, Shahdara",6000000
330,750.0,1,2.0,"Yamuna Vihar, Shahdara",6400000
331,540.0,2,1.0,"Yamuna Vihar, Shahdara",2700000
332,747.0,2,2.0,"Yamuna Vihar, Shahdara",6500000
333,720.0,2,1.0,"Yamuna Vihar, Shahdara",4000000
334,376.7365,1,1.0,"Yamuna Vihar, Shahdara",3000000
335,1125.0,2,2.0,"Yamuna Vihar, Shahdara",5000000
336,713.0,2,2.0,"Yamuna Vihar, Shahdara",6000000
337,360.0,1,1.0,"Yamuna Vihar, Shahdara",2500000
338,900.0,2,2.0,"Yamuna Vihar, Shahdara",6500000
339,713.0,3,1.0,"Yamuna Vihar, Shahdara",8000000
340,504.0,2,1.0,"Yamuna Vihar, Shahdara",2700000
341,70.0,1,2.0,"Yamuna Vihar, Shahdara",4500000
342,850.0,3,2.0,"Yamuna Vihar, Shahdara",5700000
343,2430.0,4,3.0,"Yamuna Vihar, Shahdara",25000000
